"","label","x","y","plot_type","plot_num","species"
"747","toro",19432.7857142831,9182.95558784342,"path",7,"torotoro"
"748","toro",20054.1680025651,9182.95558784342,"path",7,"torotoro"
"749","toro",20695.4195959414,9182.95558784342,"path",7,"torotoro"
"750","toro",21357.1758348335,9182.95558784342,"path",7,"torotoro"
"751","toro",22040.092375293,9182.95558784342,"path",7,"torotoro"
"752","toro",22744.8458386135,9182.95558784342,"path",7,"torotoro"
"753","toro",23472.1344817147,9182.95558784342,"path",7,"torotoro"
"754","toro",24222.6788889629,9182.95558784342,"path",7,"torotoro"
"755","toro",24997.2226861129,19987.0135016267,"path",7,"torotoro"
"756","toro",25796.5332770784,19987.0135016267,"path",7,"torotoro"
"757","toro",26621.4026042625,19987.0135016267,"path",7,"torotoro"
"758","toro",27472.6479331992,19987.0135016267,"path",7,"torotoro"
"759","toro",28351.1126622858,19987.0135016267,"path",7,"torotoro"
"760","toro",29257.6671584063,19987.0135016267,"path",7,"torotoro"
"761","toro",30193.2096192754,19987.0135016267,"path",7,"torotoro"
"762","toro",31158.6669633561,19987.0135016267,"path",7,"torotoro"
"763","toro",32154.995748234,19987.0135016267,"path",7,"torotoro"
"764","toro",33183.1831183571,19987.0135016267,"path",7,"torotoro"
"765","toro",34244.2477830803,19987.0135016267,"path",7,"torotoro"
"766","toro",35339.2410259844,19987.0135016267,"path",7,"torotoro"
"767","toro",36469.2477464688,19987.0135016267,"path",7,"torotoro"
"768","toro",37635.3875346499,19987.0135016267,"path",7,"torotoro"
"769","toro",38838.8157806306,19987.0135016267,"path",7,"torotoro"
"770","toro",40080.72481924,24138.0119368351,"path",7,"torotoro"
"771","toro",41362.3451113772,24138.0119368351,"path",7,"torotoro"
"772","toro",42684.946463129,24138.0119368351,"path",7,"torotoro"
"773","toro",44049.8392838714,24138.0119368351,"path",7,"torotoro"
"774","toro",45458.375884599,24138.0119368351,"path",7,"torotoro"
"775","toro",46911.9518177701,24138.0119368351,"path",7,"torotoro"
"776","toro",48412.0072599949,24138.0119368351,"path",7,"torotoro"
"777","toro",49960.0284389361,24138.0119368351,"path",7,"torotoro"
"778","toro",51557.5491058367,24138.0119368351,"path",7,"torotoro"
"779","toro",53206.1520551321,24138.0119368351,"path",7,"torotoro"
"780","toro",54907.4706926548,24138.0119368351,"path",7,"torotoro"
"781","toro",56663.1906539828,24138.0119368351,"path",7,"torotoro"
"782","toro",58475.0514745366,24138.0119368351,"path",7,"torotoro"
"783","toro",60344.8483130797,24138.0119368351,"path",7,"torotoro"
"784","toro",62274.4337303288,24138.0119368351,"path",7,"torotoro"
"785","toro",64265.7195244377,24138.0119368351,"path",7,"torotoro"
"786","toro",66320.6786251717,24138.0119368351,"path",7,"torotoro"
"787","toro",68441.3470486511,941176.616501802,"path",7,"torotoro"
"788","toro",70629.8259145983,941176.616501802,"path",7,"torotoro"
"789","toro",72888.2835280896,941176.616501802,"path",7,"torotoro"
"790","toro",75218.9575278722,941176.616501802,"path",7,"torotoro"
"791","toro",77624.1571033761,941176.616501802,"path",7,"torotoro"
"792","toro",80106.2652826167,941176.616501802,"path",7,"torotoro"
"793","toro",82667.7412932561,941176.616501802,"path",7,"torotoro"
"794","toro",85311.1229991609,941176.616501802,"path",7,"torotoro"
"795","toro",88039.0294148714,941176.616501802,"path",7,"torotoro"
"796","toro",90854.163300474,941176.616501802,"path",7,"torotoro"
"797","toro",93759.3138394467,941176.616501802,"path",7,"torotoro"
"798","toro",96757.3594021309,941176.616501802,"path",7,"torotoro"
"799","toro",99851.2703975691,941176.616501802,"path",7,"torotoro"
"800","toro",103044.112216532,941176.616501802,"path",7,"torotoro"
"801","toro",106339.04826865,941176.616501802,"path",7,"torotoro"
"802","toro",109739.343116667,941176.616501802,"path",7,"torotoro"
"803","toro",113248.365710905,941176.616501802,"path",7,"torotoro"
"804","toro",116869.592727159,941176.616501802,"path",7,"torotoro"
