,sound.files,selec,start,end
134,syma_torotoro_142010_44k.wav,23,104.0501901,105.1025484
135,syma_torotoro_142010_44k.wav,24,109.0236145,110.1855194
136,syma_torotoro_142010_44k.wav,25,113.8120276,115.0444314
137,syma_torotoro_142010_44k.wav,26,118.0351346,119.5128671
138,syma_torotoro_142010_44k.wav,27,125.0316431,125.69704
139,syma_torotoro_142010_44k.wav,28,129.1415754,130.6256118
140,syma_torotoro_142010_44k.wav,29,133.4957934,135.1922335
141,syma_torotoro_142010_44k.wav,30,137.0815534,137.7084695
142,syma_torotoro_142010_44k.wav,31,137.7394219,139.2013495
143,syma_torotoro_142010_44k.wav,32,142.0598758,143.5715312
144,syma_torotoro_142010_44k.wav,33,147.7838899,149.3271326
145,syma_torotoro_142010_44k.wav,34,152.1095592,153.6190604
146,syma_torotoro_142010_44k.wav,35,156.6554326,158.0925982
147,syma_torotoro_142010_44k.wav,36,160.977315,162.3997188
148,syma_torotoro_142010_44k.wav,37,165.8354787,167.4123042
149,syma_torotoro_142010_44k.wav,38,171.1228487,172.1983364
150,syma_torotoro_142010_44k.wav,39,175.2157289,176.7772483
151,syma_torotoro_142010_44k.wav,40,180.3394935,181.8749812
152,syma_torotoro_142010_44k.wav,41,185.0095619,186.0623965
153,syma_torotoro_142010_44k.wav,42,189.3316031,190.4045057
154,syma_torotoro_142010_44k.wav,43,193.4168189,194.8494267
155,syma_torotoro_142010_44k.wav,44,198.3594723,199.5154588
156,syma_torotoro_163668_44k.wav,1,15.50279297,16.64696558
157,syma_torotoro_163668_44k.wav,2,21.70200085,22.93674039
158,syma_torotoro_163668_44k.wav,3,27.20345347,28.44980298
159,syma_torotoro_163668_44k.wav,4,29.53941777,30.81814824
160,syma_torotoro_163668_44k.wav,5,31.88812583,33.15828488
161,syma_torotoro_163668_44k.wav,6,36.83218602,38.09438588
162,syma_torotoro_163668_44k.wav,7,42.81645054,50.5048198
163,syma_torotoro_163668_44k.wav,8,51.06502402,54.09815402
164,syma_torotoro_163668_44k.wav,9,59.6290851,64.83677347
165,syma_torotoro_163668_44k.wav,10,73.38618602,76.22561984
166,syma_torotoro_173730_44k.wav,1,5.503152696,6.334966871
167,syma_torotoro_173730_44k.wav,2,12.75077275,13.40043271
168,syma_torotoro_173730_44k.wav,3,19.17821129,20.19988944
169,syma_torotoro_173730_44k.wav,4,29.32658006,30.14771396
170,syma_torotoro_173730_44k.wav,5,53.19832942,53.92393043
171,syma_torotoro_173730_44k.wav,6,56.70345463,57.68227562
