"","PC1","PC2","PC3","PC4","PC5","PC6","Family","english_name","three_species_model","scientific_name","subspecies","collection","include","number","date","sex","locality","elevation","region","bill_from_nostril","bill_width","bill_depth","tarsus","wing_chord","tail_length","comments"
"28",-1.21160546503043,-0.25097990409245,0.5955171757199,0.476241987269974,0.279449071929864,-0.247278848056729,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","301860","10/5/31","m","Weylandgeb Kumupi","",NA,35.45,11.12,12.25,14.34,84,64,""
"29",-1.66291360429794,1.70486253970528,-0.336052335878934,0.246575734897062,-0.203860035024545,-0.177797900786081,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","339957","2/21/39","m","10 KM SW Bernhard Camp, I clen burg River","1500",NA,36.69,12.09,12.52,12.01,85,67,""
"30",-2.05491201503171,0.666900175005706,-0.0706384103443083,-0.0987848436116834,-0.0746448060733194,0.227201028218434,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","302859","7/19/30","m","Mt. Derimapa, Gebroeders","1525",NA,37.23,11.92,12.68,13.36,83,69,""
"32",-2.07530851043103,-0.812325252481965,0.489802721840055,0.408855838282573,0.157445452565216,-0.832015833881188,"Alcedidae","Mountain Kingfisher","megarhyncha","Syma megarhyncha wellsi","wellsi","AMNH","y","339959","11/30/38","m","Bele River, 18 km N Lake Habbema","2200",NA,35.49,11.61,12.15,15.4,88,66,""
"34",-0.220747535125238,1.15088324751061,-0.269452374613696,-0.124354656262994,-0.410834664371708,-0.0484302617926759,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637505","6/13/1897","f","Fergusson Is","",NA,34.64,11.58,11.69,12.12,79,65,""
"35",-0.647840975133757,0.445183323574748,0.305135439917833,-0.325362905915487,0.0182868105750541,-0.241293436148106,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","637504","6/13/1897","f","Fergusson Is","",NA,35.8,11.5,11.62,13.33,80,64,""
"36",-0.14027789547377,1.51383440132684,-0.699867178872332,-0.570194697405301,0.169408581701288,-0.386525554877656,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329542","1/18/29","f","Fergusson Is","",NA,36.08,11.53,10.97,11.68,80,66,"Orange head"
"37",-0.99139118237654,1.43285863795851,-0.216762544907487,-0.0616187464373868,0.295057438844475,0.0476759436686358,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","223562","11/15/28","m","Fergusson Is","",NA,37.13,11.48,12.02,12.14,82,66,""
"38",-0.0305893413337494,-0.080873812786559,-0.300183867926879,-0.261520232726728,-0.0545112526079642,-0.259106398380373,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329544","12/20/28","m","Normanby Is","",NA,33.99,11.1,11.11,13.36,79,66,"Dark crown"
"40",-1.22475289463806,0.202609155014247,0.343999869069715,-0.698861884491295,0.46818247354498,0.00936922342112459,"Alcedidae","Yellow-billed Kingfisher","ochracea","Syma torotoro ochracea","ochracea","AMNH","y","329539","jan, 1929","m","Fergusson Is","",NA,37.76,11.46,11.7,13.9,80,66,""
