"","X","sound.files","selec","start","end","SNR"
"371",372,"Syma-torotoro-301448.wav",6,49.59831992,54.02775487,4.35145685713072
"372",373,"Syma-torotoro-38640.wav",1,0.036303921,6.930851618,5.64322274416923
"373",374,"Syma-torotoro-38640.wav",2,8.118450152,10.80312624,1.44756019690541
"374",375,"Syma-torotoro-41017.wav",1,1.587098618,2.381316861,1.4130248154192
"375",376,"Syma-torotoro-41017.wav",2,5.364788339,7.065424452,14.0451927260738
"376",377,"Syma-torotoro-41017.wav",3,14.39951122,15.1706909,1.30677474179295
"377",378,"Syma-torotoro-41017.wav",4,16.89048803,18.57611279,11.3593323019895
"379",380,"Syma-torotoro-41017.wav",6,24.58813514,30.51949984,6.25368882101424
"380",381,"Syma-torotoro-70362.wav",1,1.159184813,2.577462852,7.66869512930434
"381",382,"Syma-torotoro-70362.wav",2,9.135451159,10.35855894,2.11853514436707
"382",383,"Syma-torotoro-70362.wav",3,14.75010521,16.23169396,9.05380400955299
"383",384,"Syma-torotoro-70362.wav",4,20.80242408,22.30482919,7.48147402880738
