"","H1","H2","H3","nABBA","nBABA","Dstat","jackEst","SE","Z","tree"
"1534","toro_tent","toro_toro","mega_sella",177146,184565,-0.02051085,-0.02051085,0.002255827,9.092385,"torotoro & megarhyncha H"
"1535","toro_meek","toro_toro","mega_sella",127439,144595,-0.06306565,-0.06306565,0.00241885,26.07257,"torotoro & megarhyncha H"
"1536","toro_flav","toro_toro","mega_sella",113665,118303,-0.01999414,-0.01999414,0.00292516,6.835229,"torotoro & megarhyncha H"
"1537","toro_tent","toro_flav","mega_sella",177521,117770,0.2023462,0.2023462,0.003774289,53.61173,"torotoro & megarhyncha H"
"1538","toro_meek","toro_flav","mega_sella",126898,92885,0.1547572,0.1547572,0.004136667,37.41108,"torotoro & megarhyncha H"
"1539","toro_flav","toro_flav","mega_sella",112750,76081,0.1941895,0.1941895,0.004153564,46.75251,"torotoro & megarhyncha H"
"1540","toro_toro","toro_flav","mega_sella",189989,133002,0.1764353,0.1764353,0.003113283,56.67178,"torotoro & megarhyncha H"
"1541","toro_tent","toro_meek","mega_sella",238654,233978,0.009893532,0.009893532,0.00210919,4.690678,"torotoro & megarhyncha H"
"1542","toro_meek","toro_meek","mega_sella",170418,181057,-0.03026958,-0.03026958,0.002408628,12.56714,"torotoro & megarhyncha H"
"1543","toro_flav","toro_meek","mega_sella",150856,148277,0.008621583,0.008621583,0.002756911,3.127262,"torotoro & megarhyncha H"
"1544","toro_toro","toro_meek","mega_sella",188403,174695,0.03775289,0.03775289,0.002003836,18.84031,"torotoro & megarhyncha H"
"1545","toro_flav","toro_meek","mega_sella",177584,242445,-0.1544203,-0.1544203,0.002962253,52.12934,"torotoro & megarhyncha H"
"1546","toro_tent","toro_flav","mega_sella",88561,88732,-0.0009645051,-0.0009645051,0.002844418,0.3390869,"torotoro & megarhyncha H"
"1547","toro_meek","toro_flav","mega_sella",91227,105092,-0.07062485,-0.07062485,0.002904608,24.31476,"torotoro & megarhyncha H"
"1548","toro_flav","toro_flav","mega_sella",83644,85915,-0.01339357,-0.01339357,0.003306105,4.051162,"torotoro & megarhyncha H"
"1549","toro_toro","toro_flav","mega_sella",184827,177731,0.01957204,0.01957204,0.002235029,8.75695,"torotoro & megarhyncha H"
"1550","toro_flav","toro_flav","mega_sella",117275,176469,-0.2015156,-0.2015156,0.003772184,53.42147,"torotoro & megarhyncha H"
"1551","toro_meek","toro_flav","mega_sella",233346,238247,-0.01039244,-0.01039244,0.002126707,4.886632,"torotoro & megarhyncha H"
"1552","toro_tent","toro_meek","mega_sella",96397,87864,0.04630931,0.04630931,0.003033087,15.26805,"torotoro & megarhyncha H"
"1553","toro_meek","toro_meek","mega_sella",42859,45798,-0.03315023,-0.03315023,0.003668858,9.035573,"torotoro & megarhyncha H"
"1554","toro_flav","toro_meek","mega_sella",61541,57126,0.03720495,0.03720495,0.003541982,10.50399,"torotoro & megarhyncha H"
"1555","toro_toro","toro_meek","mega_sella",131493,121099,0.04114936,0.04114936,0.002495169,16.49161,"torotoro & megarhyncha H"
"1556","toro_flav","toro_meek","mega_sella",85382,119455,-0.166342,-0.166342,0.004067932,40.89105,"torotoro & megarhyncha H"
"1557","toro_meek","toro_meek","mega_sella",164877,160436,0.01365147,0.01365147,0.002518908,5.419597,"torotoro & megarhyncha H"
"1558","toro_flav","toro_meek","mega_sella",95969,87602,0.04557909,0.04557909,0.003106532,14.67202,"torotoro & megarhyncha H"
"1684","toro_tent","toro_meek","mega_mega",99652,86150,0.07266875,0.07266875,0.002982718,24.36327,"torotoro & megarhyncha C"
"1685","toro_tent","toro_flav","mega_mega",81763,79266,0.01550652,0.01550652,0.00340853,4.549329,"torotoro & megarhyncha C"
"1686","toro_meek","toro_flav","mega_mega",56370,62790,-0.05387714,-0.05387714,0.003658057,14.72835,"torotoro & megarhyncha C"
"1687","toro_tent","toro_toro","mega_mega",166079,172953,-0.02027537,-0.02027537,0.002325011,8.720551,"torotoro & megarhyncha C"
"1688","toro_meek","toro_toro","mega_mega",119055,136260,-0.06738735,-0.06738735,0.002462286,27.36779,"torotoro & megarhyncha C"
"1689","toro_flav","toro_toro","mega_mega",106799,111289,-0.02058802,-0.02058802,0.002881584,7.144689,"torotoro & megarhyncha C"
"1690","toro_tent","toro_flav","mega_mega",166320,110608,0.2011786,0.2011786,0.003857939,52.14666,"torotoro & megarhyncha C"
"1691","toro_meek","toro_flav","mega_mega",119294,87704,0.1526102,0.1526102,0.004205011,36.29245,"torotoro & megarhyncha C"
"1692","toro_flav","toro_flav","mega_mega",106245,71733,0.1939116,0.1939116,0.004176446,46.42981,"torotoro & megarhyncha C"
"1693","toro_toro","toro_flav","mega_mega",178107,124224,0.1782252,0.1782252,0.003154606,56.49681,"torotoro & megarhyncha C"
"1694","toro_tent","toro_meek","mega_mega",222034,219695,0.005295102,0.005295102,0.002198879,2.408091,"torotoro & megarhyncha C"
"1695","toro_meek","toro_meek","mega_mega",158147,171165,-0.0395309,-0.0395309,0.002417179,16.35415,"torotoro & megarhyncha C"
"1696","toro_flav","toro_meek","mega_mega",140353,139443,0.00325237,0.00325237,0.002742824,1.185774,"torotoro & megarhyncha C"
"1697","toro_toro","toro_meek","mega_mega",174281,163790,0.03103194,0.03103194,0.002082668,14.90009,"torotoro & megarhyncha C"
"1698","toro_flav","toro_meek","mega_mega",164285,227528,-0.1614112,-0.1614112,0.003072741,52.53003,"torotoro & megarhyncha C"
"1699","toro_tent","toro_flav","mega_mega",83311,84066,-0.004510775,-0.004510775,0.002796773,1.61285,"torotoro & megarhyncha C"
"1700","toro_meek","toro_flav","mega_mega",85787,99538,-0.07419938,-0.07419938,0.003032035,24.47181,"torotoro & megarhyncha C"
"1701","toro_flav","toro_flav","mega_mega",78458,81667,-0.02004059,-0.02004059,0.003323792,6.029436,"torotoro & megarhyncha C"
"1702","toro_toro","toro_flav","mega_mega",172713,166419,0.01855915,0.01855915,0.00228167,8.134016,"torotoro & megarhyncha C"
"1703","toro_flav","toro_flav","mega_mega",110126,165957,-0.2022254,-0.2022254,0.003826101,52.85417,"torotoro & megarhyncha C"
"1704","toro_meek","toro_flav","mega_mega",218248,221181,-0.006674571,-0.006674571,0.002146714,3.109204,"torotoro & megarhyncha C"
"1705","toro_tent","toro_meek","mega_mega",91493,82204,0.05347818,0.05347818,0.003215205,16.6329,"torotoro & megarhyncha C"
"1706","toro_meek","toro_meek","mega_mega",40907,43615,-0.032039,-0.032039,0.003803865,8.422749,"torotoro & megarhyncha C"
"1707","toro_flav","toro_meek","mega_mega",58185,54168,0.03575338,0.03575338,0.003695877,9.673856,"torotoro & megarhyncha C"
"1708","toro_toro","toro_meek","mega_mega",123822,113167,0.04495989,0.04495989,0.002547609,17.64788,"torotoro & megarhyncha C"
"1709","toro_flav","toro_meek","mega_mega",80615,112309,-0.1642823,-0.1642823,0.004115352,39.91939,"torotoro & megarhyncha C"
"1710","toro_meek","toro_meek","mega_mega",155387,148856,0.02146639,0.02146639,0.002584008,8.307401,"torotoro & megarhyncha C"
"1711","toro_flav","toro_meek","mega_mega",91345,82269,0.05227689,0.05227689,0.003163172,16.52673,"torotoro & megarhyncha C"
"1837","toro_tent","toro_meek","mega_mega",108104,94053,0.06950538,0.06950538,0.002922659,23.78156,"torotoro & megarhyncha C"
"1838","toro_tent","toro_flav","mega_mega",88873,85472,0.0195073,0.0195073,0.003407596,5.724651,"torotoro & megarhyncha C"
"1839","toro_meek","toro_flav","mega_mega",60955,67313,-0.04956809,-0.04956809,0.003488867,14.20751,"torotoro & megarhyncha C"
"1840","toro_tent","toro_toro","mega_mega",182970,189516,-0.01757381,-0.01757381,0.002281439,7.702953,"torotoro & megarhyncha C"
"1841","toro_meek","toro_toro","mega_mega",131304,147815,-0.05915398,-0.05915398,0.00247599,23.89104,"torotoro & megarhyncha C"
"1842","toro_flav","toro_toro","mega_mega",116743,121002,-0.01791415,-0.01791415,0.002789987,6.420872,"torotoro & megarhyncha C"
"1843","toro_tent","toro_flav","mega_mega",183108,120235,0.207267,0.207267,0.003689935,56.17092,"torotoro & megarhyncha C"
"1844","toro_meek","toro_flav","mega_mega",130773,94773,0.1596127,0.1596127,0.004051143,39.39941,"torotoro & megarhyncha C"
"1845","toro_flav","toro_flav","mega_mega",115686,77197,0.1995458,0.1995458,0.004070523,49.02216,"torotoro & megarhyncha C"
"1846","toro_toro","toro_flav","mega_mega",195363,136347,0.1779144,0.1779144,0.003033863,58.64288,"torotoro & megarhyncha C"
"1847","toro_tent","toro_meek","mega_mega",246027,239851,0.01271101,0.01271101,0.002135614,5.951923,"torotoro & megarhyncha C"
"1848","toro_meek","toro_meek","mega_mega",175346,185048,-0.02692054,-0.02692054,0.002431587,11.07118,"torotoro & megarhyncha C"
"1849","toro_flav","toro_meek","mega_mega",154769,151985,0.009075676,0.009075676,0.002733477,3.320195,"torotoro & megarhyncha C"
"1850","toro_toro","toro_meek","mega_mega",193983,180587,0.03576368,0.03576368,0.001966488,18.18657,"torotoro & megarhyncha C"
"1851","toro_flav","toro_meek","mega_mega",182176,249628,-0.1562098,-0.1562098,0.002970728,52.58298,"torotoro & megarhyncha C"
"1852","toro_tent","toro_flav","mega_mega",90815,91493,-0.003718981,-0.003718981,0.002704719,1.374997,"torotoro & megarhyncha C"
"1853","toro_meek","toro_flav","mega_mega",93684,107398,-0.06820103,-0.06820103,0.00297033,22.96076,"torotoro & megarhyncha C"
"1854","toro_flav","toro_flav","mega_mega",84779,88491,-0.02142321,-0.02142321,0.003294435,6.502849,"torotoro & megarhyncha C"
"1855","toro_toro","toro_flav","mega_mega",188541,183373,0.01389569,0.01389569,0.002230278,6.230472,"torotoro & megarhyncha C"
"1856","toro_flav","toro_flav","mega_mega",119736,182410,-0.2074295,-0.2074295,0.003602833,57.574,"torotoro & megarhyncha C"
"1857","toro_meek","toro_flav","mega_mega",238735,245733,-0.01444471,-0.01444471,0.002128119,6.787547,"torotoro & megarhyncha C"
"1858","toro_tent","toro_meek","mega_mega",98872,89635,0.04900083,0.04900083,0.003072721,15.94705,"torotoro & megarhyncha C"
"1859","toro_meek","toro_meek","mega_mega",44028,47108,-0.03379565,-0.03379565,0.00372701,9.067763,"torotoro & megarhyncha C"
"1860","toro_flav","toro_meek","mega_mega",62308,58270,0.0334887,0.0334887,0.003635615,9.211288,"torotoro & megarhyncha C"
"1861","toro_toro","toro_meek","mega_mega",134793,124510,0.03965631,0.03965631,0.002550963,15.54562,"torotoro & megarhyncha C"
"1862","toro_flav","toro_meek","mega_mega",87115,123247,-0.1717611,-0.1717611,0.004009626,42.83717,"torotoro & megarhyncha C"
"1863","toro_meek","toro_meek","mega_mega",168265,165312,0.008852529,0.008852529,0.002535875,3.490917,"torotoro & megarhyncha C"
